epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4573.13,0.95361,0.93339,1.35974,0.78108,0.77345,0.81943,0.62389,0.80534,0.64008,1.21026,0.000389875,0.000389875,0.000389875
59,4650.91,0.94276,0.9157,1.34189,0.81358,0.78974,0.82351,0.63705,0.78269,0.62695,1.17996,0.00038575,0.00038575,0.00038575
60,4728.96,0.94626,0.91117,1.34679,0.81187,0.7878,0.82658,0.63856,0.79147,0.61396,1.19122,0.000381625,0.000381625,0.000381625
61,4806.55,0.94113,0.91339,1.33493,0.80546,0.77626,0.82067,0.62745,0.78581,0.62791,1.18966,0.0003775,0.0003775,0.0003775
62,4883.7,0.92698,0.89912,1.33482,0.82816,0.7615,0.81742,0.63082,0.80271,0.61906,1.20742,0.000373375,0.000373375,0.000373375
63,4960.98,0.9424,0.90406,1.34057,0.80462,0.77461,0.83365,0.63644,0.7855,0.62141,1.18664,0.00036925,0.00036925,0.00036925
64,5038.52,0.92816,0.88772,1.32526,0.80413,0.77694,0.83457,0.64525,0.77809,0.59795,1.17079,0.000365125,0.000365125,0.000365125
65,5115.85,0.94058,0.90603,1.34056,0.80061,0.79754,0.83527,0.64427,0.77326,0.60182,1.17017,0.000361,0.000361,0.000361
66,5193.22,0.92976,0.88769,1.33958,0.79152,0.77112,0.82039,0.63832,0.76332,0.59904,1.16936,0.000356875,0.000356875,0.000356875
67,5270.7,0.92978,0.89217,1.3332,0.88118,0.7862,0.85956,0.6672,0.76573,0.59288,1.1822,0.00035275,0.00035275,0.00035275
68,5348.14,0.90897,0.8692,1.31898,0.80015,0.78388,0.82735,0.64388,0.77857,0.60095,1.19319,0.000348625,0.000348625,0.000348625
69,5425.56,0.90283,0.85639,1.31633,0.84204,0.78625,0.83041,0.65321,0.76223,0.60271,1.17134,0.0003445,0.0003445,0.0003445
70,5503.16,0.91743,0.85871,1.32293,0.86299,0.7581,0.83997,0.65047,0.76012,0.59383,1.17087,0.000340375,0.000340375,0.000340375
71,5580.63,0.90924,0.86588,1.31826,0.83494,0.78746,0.83544,0.65155,0.77104,0.57359,1.17301,0.00033625,0.00033625,0.00033625
72,5657.71,0.9119,0.86006,1.31724,0.84093,0.79503,0.86447,0.67195,0.75443,0.56808,1.15755,0.000332125,0.000332125,0.000332125
73,5735.07,0.90273,0.85265,1.3139,0.83492,0.78352,0.83914,0.66178,0.75114,0.5818,1.16409,0.000328,0.000328,0.000328
74,5815.49,0.89356,0.83833,1.30976,0.80858,0.79933,0.83962,0.65852,0.75297,0.57676,1.15248,0.000323875,0.000323875,0.000323875
75,5895.88,0.8832,0.83365,1.30724,0.82592,0.79041,0.84187,0.66431,0.74942,0.57453,1.16223,0.00031975,0.00031975,0.00031975
76,5974.61,0.88691,0.82345,1.30239,0.80024,0.82378,0.84091,0.65794,0.76527,0.57855,1.16732,0.000315625,0.000315625,0.000315625
77,6052.96,0.8869,0.81864,1.29989,0.82478,0.80966,0.84261,0.66208,0.7494,0.57251,1.16137,0.0003115,0.0003115,0.0003115
78,6131.47,0.88538,0.81098,1.29924,0.83586,0.79669,0.8457,0.65933,0.74855,0.56617,1.16227,0.000307375,0.000307375,0.000307375
79,6209.6,0.88211,0.80571,1.29468,0.83501,0.80665,0.84803,0.66403,0.7433,0.56104,1.15957,0.00030325,0.00030325,0.00030325
80,6287.94,0.87313,0.81321,1.29378,0.84191,0.80849,0.84291,0.66661,0.73308,0.56443,1.15825,0.000299125,0.000299125,0.000299125
81,6366.41,0.87669,0.79178,1.29032,0.8356,0.76344,0.83464,0.65591,0.73301,0.58014,1.15027,0.000295,0.000295,0.000295
82,6444.23,0.88076,0.80431,1.29279,0.85383,0.78155,0.84023,0.65793,0.73997,0.56439,1.14894,0.000290875,0.000290875,0.000290875
83,6522.38,0.87032,0.79583,1.28703,0.85853,0.78145,0.84837,0.67242,0.72442,0.56206,1.1382,0.00028675,0.00028675,0.00028675
