image_id,file,model,num_gt,num_pred,time_sec
2232,Hammer (1091)_JPEG.rf.AV9sOVfCwX9L2V5DcBQ4.JPEG,OWL-ViT,1,4,0.037715
2232,Hammer (1091)_JPEG.rf.AV9sOVfCwX9L2V5DcBQ4.JPEG,OWLv2,1,1,0.184008
2232,Hammer (1091)_JPEG.rf.AV9sOVfCwX9L2V5DcBQ4.JPEG,Grounding DINO,1,26,0.240648
72,Hammer (1027)_JPEG.rf.ceosBI5rPxdb9QTHw0i3.JPEG,YOLO fine-tuned,1,6,0.019923
72,Hammer (1027)_JPEG.rf.ceosBI5rPxdb9QTHw0i3.JPEG,OWL-ViT,1,5,0.038088
72,Hammer (1027)_JPEG.rf.ceosBI5rPxdb9QTHw0i3.JPEG,OWLv2,1,3,0.186397
72,Hammer (1027)_JPEG.rf.ceosBI5rPxdb9QTHw0i3.JPEG,Grounding DINO,1,45,0.316908
1185,Screwdriver (1212)_JPEG.rf.cA12N9yJ0K2sXmFMmB9L.JPEG,YOLO fine-tuned,6,9,0.021130
1185,Screwdriver (1212)_JPEG.rf.cA12N9yJ0K2sXmFMmB9L.JPEG,OWL-ViT,6,0,0.038442
1185,Screwdriver (1212)_JPEG.rf.cA12N9yJ0K2sXmFMmB9L.JPEG,OWLv2,6,15,0.184549
1185,Screwdriver (1212)_JPEG.rf.cA12N9yJ0K2sXmFMmB9L.JPEG,Grounding DINO,6,44,0.245944
759,000320_jpg.rf.xYczN52xqsDe2Vx2aan5.jpg,YOLO fine-tuned,1,1,0.018916
759,000320_jpg.rf.xYczN52xqsDe2Vx2aan5.jpg,OWL-ViT,1,1,0.036247
759,000320_jpg.rf.xYczN52xqsDe2Vx2aan5.jpg,OWLv2,1,3,0.182645
759,000320_jpg.rf.xYczN52xqsDe2Vx2aan5.jpg,Grounding DINO,1,23,0.300769
907,000359_jpg.rf.aXdPKYpCB4YxYnpRnhIA.jpg,YOLO fine-tuned,2,2,0.079125
907,000359_jpg.rf.aXdPKYpCB4YxYnpRnhIA.jpg,OWL-ViT,2,7,0.038018
907,000359_jpg.rf.aXdPKYpCB4YxYnpRnhIA.jpg,OWLv2,2,26,0.184825
907,000359_jpg.rf.aXdPKYpCB4YxYnpRnhIA.jpg,Grounding DINO,2,27,0.266336
2594,plier--54-_jpg.rf.ecQfyW9GAT91SZaLsO8T.jpg,YOLO fine-tuned,1,1,0.021993
2594,plier--54-_jpg.rf.ecQfyW9GAT91SZaLsO8T.jpg,OWL-ViT,1,7,0.037671
2594,plier--54-_jpg.rf.ecQfyW9GAT91SZaLsO8T.jpg,OWLv2,1,10,0.182065
