image_id,file,model,num_gt,num_pred,time_sec
189,000013_jpg.rf.YZIbwk5CUZdDxHtnceIw.jpg,OWL-ViT,1,2,0.039976
189,000013_jpg.rf.YZIbwk5CUZdDxHtnceIw.jpg,OWLv2,1,2,0.199198
189,000013_jpg.rf.YZIbwk5CUZdDxHtnceIw.jpg,Grounding DINO,1,26,0.336141
240,000044_jpg.rf.eqVnJde9USrbZzrR80rY.jpg,YOLO fine-tuned,11,16,0.091839
240,000044_jpg.rf.eqVnJde9USrbZzrR80rY.jpg,OWL-ViT,11,16,0.040575
240,000044_jpg.rf.eqVnJde9USrbZzrR80rY.jpg,OWLv2,11,20,0.198073
240,000044_jpg.rf.eqVnJde9USrbZzrR80rY.jpg,Grounding DINO,11,60,0.358716
186,000034_jpg.rf.Xkxr7gN3MnRoTVjqjwWo.jpg,YOLO fine-tuned,1,2,0.019401
186,000034_jpg.rf.Xkxr7gN3MnRoTVjqjwWo.jpg,OWL-ViT,1,5,0.039019
186,000034_jpg.rf.Xkxr7gN3MnRoTVjqjwWo.jpg,OWLv2,1,3,0.196810
186,000034_jpg.rf.Xkxr7gN3MnRoTVjqjwWo.jpg,Grounding DINO,1,30,0.255981
91,000032_jpg.rf.KJu64MM2slE4BqjjTTAO.jpg,YOLO fine-tuned,2,2,0.020136
91,000032_jpg.rf.KJu64MM2slE4BqjjTTAO.jpg,OWL-ViT,2,1,0.043018
91,000032_jpg.rf.KJu64MM2slE4BqjjTTAO.jpg,OWLv2,2,1,0.196510
91,000032_jpg.rf.KJu64MM2slE4BqjjTTAO.jpg,Grounding DINO,2,7,0.674485
111,000046_jpg.rf.LHWz2UL00jcuv4CnPX24.jpg,YOLO fine-tuned,1,5,0.028466
111,000046_jpg.rf.LHWz2UL00jcuv4CnPX24.jpg,OWL-ViT,1,3,0.117955
111,000046_jpg.rf.LHWz2UL00jcuv4CnPX24.jpg,OWLv2,1,1,3.425744
111,000046_jpg.rf.LHWz2UL00jcuv4CnPX24.jpg,Grounding DINO,1,26,0.377548
146,000016_jpg.rf.OdaFk7AtdkIftosMtNwV.jpg,YOLO fine-tuned,1,6,0.020912
146,000016_jpg.rf.OdaFk7AtdkIftosMtNwV.jpg,OWL-ViT,1,1,0.137484
146,000016_jpg.rf.OdaFk7AtdkIftosMtNwV.jpg,OWLv2,1,43,3.416296
146,000016_jpg.rf.OdaFk7AtdkIftosMtNwV.jpg,Grounding DINO,1,18,0.380107
86,000019_jpg.rf.IvGcibObQFzXebndwnmm.jpg,YOLO fine-tuned,2,8,0.019139
86,000019_jpg.rf.IvGcibObQFzXebndwnmm.jpg,OWL-ViT,2,24,0.139221
86,000019_jpg.rf.IvGcibObQFzXebndwnmm.jpg,OWLv2,2,76,3.419643
86,000019_jpg.rf.IvGcibObQFzXebndwnmm.jpg,Grounding DINO,2,68,0.398348
203,000006_jpg.rf.lbB2drPCTuAPAhyEv2fm.jpg,YOLO fine-tuned,1,2,0.019369
203,000006_jpg.rf.lbB2drPCTuAPAhyEv2fm.jpg,OWL-ViT,1,1,0.137668
203,000006_jpg.rf.lbB2drPCTuAPAhyEv2fm.jpg,OWLv2,1,3,3.420462
203,000006_jpg.rf.lbB2drPCTuAPAhyEv2fm.jpg,Grounding DINO,1,25,0.492581
105,000007_jpg.rf.Mf9Tgk3xl9Fqlu9s5ATC.jpg,YOLO fine-tuned,1,2,0.036529
105,000007_jpg.rf.Mf9Tgk3xl9Fqlu9s5ATC.jpg,OWL-ViT,1,7,0.136941
105,000007_jpg.rf.Mf9Tgk3xl9Fqlu9s5ATC.jpg,OWLv2,1,3,3.415301
105,000007_jpg.rf.Mf9Tgk3xl9Fqlu9s5ATC.jpg,Grounding DINO,1,24,0.575440
219,000050_jpg.rf.mcG36K63YoPk1gpe9Wcu.jpg,YOLO fine-tuned,1,2,0.022112
219,000050_jpg.rf.mcG36K63YoPk1gpe9Wcu.jpg,OWL-ViT,1,2,0.152236
219,000050_jpg.rf.mcG36K63YoPk1gpe9Wcu.jpg,OWLv2,1,2,3.672357
219,000050_jpg.rf.mcG36K63YoPk1gpe9Wcu.jpg,Grounding DINO,1,25,0.506836
116,000042_jpg.rf.7nxwgRhJOjVtDSMpEPAC.jpg,YOLO fine-tuned,2,2,0.019032
116,000042_jpg.rf.7nxwgRhJOjVtDSMpEPAC.jpg,OWL-ViT,2,6,0.135778
116,000042_jpg.rf.7nxwgRhJOjVtDSMpEPAC.jpg,OWLv2,2,7,3.943452
116,000042_jpg.rf.7nxwgRhJOjVtDSMpEPAC.jpg,Grounding DINO,2,37,0.543628
151,000001_jpg.rf.Op0pdWRTEFeF969HSoq7.jpg,YOLO fine-tuned,1,3,0.022542
151,000001_jpg.rf.Op0pdWRTEFeF969HSoq7.jpg,OWL-ViT,1,1,0.147632
151,000001_jpg.rf.Op0pdWRTEFeF969HSoq7.jpg,OWLv2,1,1,3.463655
151,000001_jpg.rf.Op0pdWRTEFeF969HSoq7.jpg,Grounding DINO,1,15,0.503580
117,000000_jpg.rf.72oSGSMFgP1RAR4Ss5rN.jpg,YOLO fine-tuned,1,4,0.106405
